name	estimate	se	p.value	Nag.r2	adj.p.val
hv003	-0.18183060622854	0.292915027905699	0.535104348633909	0.000268449959513362	0.692534978635099
hv008	-0.770522869090828	0.204448390672861	0.000188355072837783	0.00600734873637521	0.000431517778634639
hv010	-0.397480285623071	0.193416118145664	0.0405132276603871	0.00192991608509119	0.0812768804917519
hv011	-0.160043190471766	0.349566570126369	0.64731718668645	0.000302060981898444	0.777792473184336
hv012	-0.102048265633343	0.0639253784208914	0.111185255139206	0.0014494619551545	0.203491309687732
hv013	-0.100340247555063	0.0697293698576691	0.150922283356382	0.00138846753525002	0.26477116497537
hv014	0.0111367094101827	0.168230759901579	0.947251971647262	1.85608918734648e-06	0.971975172105635
hv016	0.0413885854667054	0.0220069815877354	0.0607279245721915	0.0020427147006008	0.118100045056838
hv017	-15.0698819465356	0.207474428195302	9.61935e-235	0.00281985347380775	2.55437466818182e-232
hv018	0.00104750119233276	0.00394026577341017	0.790493286423512	3.04823023160594e-05	0.874964338629435
hv019	-0.0318409167982813	0.041709383469285	0.445668623095631	0.000302557009340232	0.613476931226361
hv022	0.0050092668338515	0.00341845880383323	0.143597173818199	0.00136352236326176	0.254056538293737
hv028	-2.93169424216656e-07	3.27561380571729e-07	0.371314132228748	0.000305102608332164	0.538534548282112
hv032	0.342867592103044	0.541389902283909	0.526887855750046	0.000191016886722406	0.684321665916356
hv035	0.0819530087717182	0.187574245125133	0.662409109271211	8.43217369094207e-05	0.790076361037651
hv041	-0.3858799455508	0.18257827067996	0.0351671021253027	0.00187885509321173	0.0712859856405338
hv220	-0.0272246030319965	0.0111268756270551	0.0148385401567362	0.00202366056652359	0.0317533888628765
hv271	6.93622244754522e-07	1.61975188471571e-06	0.668712600160759	9.76935188257144e-05	0.794028254093324
hml1	-1.54621385415861	0.579888994391516	0.00797324506249808	0.00428867196363047	0.0175227555635627
hml1a	-1.55072495224076	0.575895380850819	0.00738060763162396	0.00428621087302339	0.0162830475014906
hml2	-1.66780227197741	0.886004694805286	0.0604986156205025	0.00144822211251583	0.117732482496661
shdist	0.0538865667120274	0.0471759540958696	0.254024765203376	0.000816836603837134	0.401912372448744
shointd	0.0345594409192167	0.0209143406875608	0.0992204286037218	0.00152168555352294	0.184483050255551
shointc	-0.638931059268815	0.22012151189779	0.00390218619119476	0.0038588432549318	0.00873431867009954
hv107	0.179780840591283	0.0944781611606058	0.0577772285086443	0.00240531292332857	0.112812355931651
hv108	-0.0109028244888414	0.0293570683071446	0.710543265123551	6.25304317614095e-05	0.821910380993934
hv123	17.3255301428257	1.00891902457899	1.944026e-42	0.00682330379737894	6.68845694464075e-42
hv124	-0.315213222387236	0.133347416041656	0.0185562465628898	0.00488132042047695	0.039334394927577
hv127	0.655879949194731	0.0488508477735985	1.057363e-30	0.00190249763087702	3.06100824876115e-30
hv128	-0.376035528966665	0.152660665853466	0.0141838276266884	0.00562657493968688	0.0304192074137715
hml16	0.0493377126267897	0.0111311489554058	1.20072704783449e-05	0.00639587402731834	2.75732995811678e-05
sh15b	0.372465770471493	0.144038076624106	0.0100673991365611	0.00458296521738633	0.0219290625487658
sh18b	16.6714048085734	1.04880482470724	2.400154e-38	0.0102753001618769	7.85969712331839e-38
sh20b	0.772322698981983	0.0520789936380824	2.523175e-35	0.00336052819767518	7.91642768528464e-35
hmlidx	0.00655103437615985	0.133534574810118	0.960954066247946	-5.759171e-12	0.98026640809916
hml4	-0.00016259354319941	0.0020472058241768	0.936829124427246	-5.759393e-12	0.966293368590776
v004	-0.00121315846299532	0.00165105832881057	0.462899950555465	0.00033200561984259	0.629483591979755
v005	-2.63968835710144e-07	3.18276998963985e-07	0.407383412612739	0.000259215670108115	0.573754555565
v006	-0.564363431265557	0.204125014580028	0.00595554364241417	0.00287542416987274	0.0132189536318327
v008	-0.564363431265672	0.204125014579904	0.00595554364237421	0.00287542416987285	0.0132189536318327
v012	0.0543778448330723	0.0115400040954031	3.37316407910076e-06	0.007295947472574	7.75217330846052e-06
v016	0.0255759307903371	0.0205476705178129	0.213955666163491	0.000786134398960914	0.351696398910274
v021	-0.00121315846299532	0.00165105832881057	0.462899950555465	0.00033200561984259	0.629483591979755
v022	0.00492103030584343	0.00358590390522587	0.170719551051432	0.00123973939019395	0.292304694385248
v027	-1.44423134746413	0.890173943848519	0.105490790301978	0.00201566446315349	0.194531943479847
v028	0.0014191234286379	0.00405386259996215	0.726469963869135	5.2609027674011e-05	0.83002405054581
v029	-0.0295430168114095	0.0432375041234738	0.494824112961117	0.000246555777688284	0.66029293465483
v032	0.413373370121033	0.544311723639596	0.448028705901713	0.000270639540262296	0.615275905001835
v107	0.15799538270087	0.0992374825422013	0.112157508682853	0.00175293757768469	0.204590796448258
v133	-0.011085193334282	0.0375191613758676	0.76779798420997	4.34201180126159e-05	0.858300004545474
v136	-0.0981632153490892	0.0696966225764964	0.159767386737991	0.00129150624367069	0.276674120527974
v152	-0.0267359212615635	0.0105022578640973	0.0112736597024935	0.00183998731810153	0.0243928592525804
v201	0.0853430835112704	0.0339801416148048	0.012407227596256	0.00167227899024358	0.0266677791086562
v202	0.199661641732115	0.108776216253321	0.0671589436783318	0.00119869013869145	0.129315276522352
v203	-0.0113101218003378	0.187377819617782	0.951898630366218	2.07684923869689e-06	0.975001290285744
v204	0.154761857285764	0.143355359756201	0.280975514257403	0.000427493028627324	0.433560209797081
v205	0.235597350908682	0.127627803964554	0.0656240561504066	0.00123825290625279	0.126777690486334
v206	0.52106716686199	0.164524909129305	0.00165596804613893	0.00274868961941432	0.00374967648276885
v207	0.280482843118699	0.254294637582531	0.270687590822702	0.000333770253800103	0.420472107245956
v212	0.0253933162308679	0.0164332729272669	0.123127709594518	0.000915746053329003	0.22214702886077
v218	0.0869206556058126	0.0421775068573608	0.0399557235348881	0.0011675059378452	0.0803239287304943
v507	0.0232056622766374	0.0539970075892234	0.667616343468301	0.000150333748918152	0.793371578222501
v508	-0.00918281987039176	0.0252904188502666	0.71673701728157	0.000172387175429445	0.825547644905152
v509	-0.000741889676804206	0.00209197831949027	0.723060478492019	0.000162276193765631	0.829166638918064
v511	0.0848719947828364	0.0376625532497514	0.0248010426305514	0.00494293339204843	0.0515614558888546
v512	0.00923820475657495	0.0249859937503852	0.711786754183564	0.00017520234866597	0.822115108331432
v527	0.00266810206854827	0.00203348159930807	0.190279123325459	0.00165425560234755	0.318824974449511
v616	-0.0134147155729574	0.0101478704974608	0.187355252287468	0.00249130240172413	0.31527268578598
v768a	-0.00704701315224496	0.00594309749564433	0.23712885857827	0.00398468922339623	0.378913236273045
v801	-0.000100699000538458	0.000288726550713059	0.727443193905263	3.49179915548614e-05	0.83002405054581
v802	-0.000168844425312186	0.000160033810076653	0.292027733430592	0.000222910940145593	0.446837616213074
v191	7.01914276571067e-07	1.70042981140559e-06	0.679981026280702	9.42384299664756e-05	0.802190863394964
sdist	0.0545075065173708	0.0445236933553421	0.221573139339521	0.000784019042396111	0.359364319828285
s109	0.382999741770464	0.143111763945229	0.0077531775248493	0.00478710889152278	0.0170534876130157
mv138	-0.112808060631836	0.338173660129081	0.738868522307257	0.000149507533896642	0.838946890467155
mv167	0.0236343454637098	0.00932465826334445	0.0116320793021202	0.0023336842446483	0.0250940204146921
mv245	0.0384131158561458	0.0180015037730923	0.0334510029469348	0.000318577687641208	0.068185889468246
mv3b11	0.037500696559797	0.0093216593985641	6.85477565870396e-05	0.00638362846393925	0.000157288293001369
mv3b19	0.00326286267895205	0.00121596829151614	0.00767402241214071	0.00853492293802083	0.0168921020842977
mv505	-0.0243733234456964	0.441647270553617	0.95601919018859	2.12855060344186e-06	0.978411553964211
mv505a	-0.206078906718637	0.502423286756987	0.681920008300888	0.000188429623215303	0.803268613946733
mv505b	0.246559501285009	0.460266576370211	0.592497468451017	0.000217390685138374	0.736148492277933
mv538	0.0209694388747561	0.00919054696781639	0.0230280416320175	0.000426474580904945	0.0481495415942184
mv603	-0.0134147155729574	0.0101478704974608	0.187355252287468	0.00249130240172413	0.31527268578598
mv733	-0.00176454118023487	0.0109264311603407	0.871786934839335	2.685225279353e-06	0.927682927747067
mv766a	-0.224632741350336	0.278985156489187	0.421188186592872	0.000272331586450458	0.586970750495124
mv766b	0.0206495920720981	0.0150201480080477	0.169953924323515	5.25737110366187e-05	0.29116446507272
hv105_01	-0.0272246030319965	0.0111268756270551	0.0148385401567362	0.00202366056652359	0.0317533888628765
hv105_02	-0.00956431839216919	0.0127454821880957	0.453446596690884	0.000240739853164418	0.619222771825186
hv105_03	-0.00727758526895923	0.0312058312563133	0.815717319614642	8.29732624060275e-05	0.893404683387465
hv105_04	-0.0619449257531514	0.0393351394811008	0.116128556023962	0.00339015050685187	0.210559597855986
hv105_05	-0.0885740844320094	0.0423526378715188	0.0371954488591696	0.00428650400241315	0.0752409322144283
hv105_06	0.0053377591774751	0.0243674543632329	0.82674684126427	4.77997048826673e-05	0.898410536954216
hv105_07	0.0312656600727937	0.011789382361931	0.00849491653620687	0.00346194643587439	0.0186148921247264
